examId,content,options,imagePath,answer
1,看到網友所整理、分享某事件的資訊懶人包，請問你應該如何辨識其可信度？		,"['按讚或分享的數量越多，表示其內容必定正確', '依據作者的知名程度判斷，知名度越高越真實', '內容若是圖文並茂，顯示作者用心整理，值得信任', '內容如果僅有單一面向的論述與說法，則要注意是否偏頗失真', None]",/Image/38551464-705b-4135-a871-cca46da330c4.jpg,3
2,想要瞭解正確的醫療保健常識，以下哪個網站查詢的資訊可信度較高？,"['政府衛生單位網站', '醫藥產品網站', '入口網站的知識區', '熱門部落格', None]",/Image/73b70dbd-7125-4dd0-9407-cac9ace3c255.jpg,0
3,收到朋友寄來的電子郵件，內容提到某些沐浴乳含甲醛、鮮乳含禁藥等訊息時，你應該怎麼辦？,"['趕快轉寄給其他朋友提醒他們', '向相關單位查證', '以後再也不使用沐浴乳或是喝鮮乳', '在自己的部落格上也張貼相關資訊，提醒大家', None]",,1
4,以下何種網路內容對兒童及青少年身心發展可能有害，應該避免接觸？,"['描述觀看電影後的心得與感想', '描述賭博、吸毒、販毒等犯罪行為', '自助旅行的遊記', '烘培蛋糕的食譜', None]",/Image/7649c564-5445-4ec1-a856-f190cf1d352e.jpg,1
7,當發現自己的社群服務頁面出現色情廣告留言或奇怪網址的超連結，下列何種因應方式為「錯誤」？,"['立即移除不當內容的貼文', '點選該連結，檢查一下是否真的包含色情內容', '向網站管理者檢舉不當留言，請管理者進一步處理', '封鎖大量濫貼廣告或色情文字、網址的使用者', None]",,1
9,某男子因在網路上轉貼裸露照片而被判拘役55天。在網站上張貼、散布或販售色情與猥褻圖文、影片屬違法的行為。請問下列相關敘述何者有誤？	,"['可能觸犯刑法', '可能會被處以二年以下有期徒刑、拘役或科或併科三萬元以下罰金', '只是轉貼他人提供的色情圖文或影片，並不會違法', '如果散布的是未滿18歲的猥褻圖片或影片，還會被處以更重的刑責', None]",/Image/a5d2ea50-e7ec-4d60-aed3-f54435a18f86.jpg,2
10,請問於公開論壇、部落格留言版、社群網站、或用E-mail散布誹謗他人言論，是否違法？			,"['不是，因為公民有言論自由', '不是，因為謾罵是在抒發情緒', '是的，這樣的行為可能會涉及刑法第310條的誹謗罪', '只要以匿名的方式發言，就不必擔心違法', None]",/Image/266367a9-c56c-4313-97b1-ea7f8b3e77a7.jpg,2
11,網路上偶爾會出現為了吸引網友關注而散布虐待動物的影片及照片，請問這是否涉及觸法行為？,"['動物保護法已明確規範不得散布虐待動物之影像', '目前尚無法可管', '這些人只是因為好玩而轉貼在自己的網站上，並沒有違法', '只是動物照片不是人類照片，因此不違法', None]",,0
12,張貼下列何種網路資訊，最有可能構成犯罪行為？,"['最新款智慧型手機開箱文', '販賣醫生處方藥', '販賣二手摩托車', '自製的搞笑動畫', None]",/Image/7ece6f49-77d1-42c7-9fcd-b00d4515ea44.jpg,1
13,當我們面對網路上各式各樣的資訊時，看到下列哪一個特徵時，可能要想想這個資訊是否客觀？,"['簡單明瞭的網頁畫面', '有知名的廣告商贊助', '沒有多餘或閃爍的符號', '由政府單位發布', None]",,1
14,面對網路上的各種資訊，下列何者「不是」評估網路資訊可信度的面向？,"['搜尋作者的名字，以間接證實資訊作者的存在', '察看網站贊助者，瞭解發布網站的目的或動機', '留意網站設計的美觀性、背景顏色是否常更新', '留意資訊是否有錯別字、內容是否過於戲劇性誇大', None]",/Image/9d49e42e-3de2-4c02-a31b-6f12083eeda4.jpg,2
15,我們如何判斷網路上的資訊具有客觀性？,"['資訊內容不偏頗、分析說明有條理', '資訊包含廣告與作者自身的觀點', '網站中的資訊是為了推銷商品', '網站有知名藝人代言，且購物免運費', None]",,0
16,對於網路謠言的敘述哪一個是「錯誤」的？		,"['利用多媒體技術，可製造合成照，更可提高網路謠言的可信度', '散布網路謠言除了引起誤會外，還可能會觸犯法律', '既然網路上的人都相信，那這樣的訊息應該是正確的', '網路謠言散布的動機可能是惡作劇，也可能是善意的提醒', None]",,2
17,瀏覽網路上的資訊時，我們如何看出該資訊是否具有權威性？,"['資訊有清楚註明作者的聯繫方式。', '資訊的作者具有發布資訊的資格。', '網站有註明資訊的發布者及單位。', '網站內幾乎都是英文，很少中文。', None]",,2
19,網路購物目前相當風行，但在網路上販售什麼物品是違法的？		,"['二手衣物', '槍械', '食品', '機票', None]",,1
20,在網路上看到很多人推薦的「吃檸檬蝦當心砒霜中毒」文章，請問你應該如何反應？			,"['既然有那麼多網友推薦，那可信度一定很高，以後再也不吃檸檬蝦了', '上網發布文章，提醒大家拒吃檸檬蝦', '馬上轉寄連結給其他親友，提醒大家要注意', '可向「衛生福利部食品藥物管理署」求證', None]",/Image/c8561ace-96cf-4539-88ee-bd34d2b587da.jpg,3
21,收到一封標明「可樂混合味精等於 FM2，女性朋友請小心」的轉寄郵件，應該怎麼處理？,"['趕快轉寄給女性好友，提醒她們要當心', '自己在家試驗看看', '可向「衛生福利部食品藥物管理署」求證', '問問看其他網友的意見', None]",,2
23,網路拍賣商品五花八門，請問下列哪一項商品可以在網路上販售？,"['日本最夯的眼藥水', '高麗人蔘', 'OK繃', '手工水餃', None]",/Image/b777522d-205c-426d-a7c8-e3ac07948c81.jpg,3
24,社群網站上也經常出現不適宜的內容圖片或文字，以下有關臉書的敘述何者有誤？		,"['臉書沒有不可發布暴力、色情、虐待內容的規定', '臉書資訊不分級，色情、誘惑資訊太多', '臉書容易遭網友利用，發出恐嚇信或傳血腥照片', '臉書好友傳來的訊息，內容可能不是來自本人', None]",,0
25,下列哪一個免費 Wi-Fi 可能較為安全？,"['iTaiwan', 'iLove', 'iSeeYou', '小智的Phone', None]",,0
26,下載或使用App時，會出現授權請求說明需要存取手機的某些功能，若沒有注意授權內容可能會造成什麼風險？,"['洩漏個人資料', '下載之後無法使用', '只是一些文字敘述，不需理會', '智慧型手機故障', None]",,0
27,添購新手機後，舊手機應該怎麼處理才不會造成個資外洩？請選出「錯誤」的答案。						,"['手機資料全部刪除', '徹底將手機銷毀', '直接把手機賣給其他人', '將手機恢復原廠設定', None]",/Image/3bf8352d-8462-4330-a568-4cc8f22b01a8.jpg,2
29,現今許多廣告、海報會印出 QR Code，當我們在掃描QR Code時應該注意哪些事項才能確保安全？,"['掃描後直接就開啟連結', '掃描後在開啟之前要先辨識連結網址的合理性', '掃描後直接下載要求安裝的軟體', '導到奇怪的網址也不用理會', None]",/Image/c933823f-4770-4911-a927-6c05274f9435.jpg,1
31,智慧型手機內包含許多重要個人資料，如照片、通訊錄等，定期備份也很重要，請問下列何者「不是」手機資料備份的主要原因？,"['行動裝置較容易遺失或遭竊', '避免行動裝置當機導致資料遺失', '避免個人資料外洩', '避免資料受損或不小心銷毀', None]",,2
32,當你決定要回收或賣掉舊的智慧型手機時，應該注意？,"['要將智慧型手機的保護貼撕下來才能回收', '只要把SIM卡拿出來就可以安心的將手機賣掉或回收', '將手機內的個人資料或檔案備份後，徹底刪除', '要將下載的付費App刪除後才能回收', None]",,2
34,許多惡意程式會偽裝成一般App 並在網路上提供下載安裝，使用者安裝這類 App 後可能會有哪些結果？,"['惡意程式會在手機裝置內開啟後門，讓駭客從中竊取各類資料', '手機會自燃與爆炸', '手機螢幕會出現多道裂痕，導致看不清楚畫面', '手機保護貼會自動脫落', None]",,0
37,智慧型手機可以讓使用者儲存大量的個人行事曆、通訊錄、照片、文件等資料，和電腦一樣，智慧型手機也需要進行定期備份，以下何者「不是」備份的原因？,"['智慧型手機可能因為摔在地上受損，導致資料無法讀取。', '因為備份可以阻擋電腦病毒攻擊智慧型手機。', '因為智慧型手機可能比電腦更容易遺失或遭竊。', '智慧型手機零件可能損壞造成資料毀損。', None]",,1
38,越來越多地點提供免費Wi-Fi服務，利用免費Wi-Fi連上網時，應該要有哪些正確的認知？,"['應盡量避免使用無需加密的無線基地臺來連網', '無線上網因使用技術不同，因此不需要注意行動裝置的防毒、更新等問題', 'Wi-Fi 連線通常較 3G/4G上網速度要快，所以比較安全', '電腦病毒只會透過有線的上網環境進行傳染', None]",,0
45,如果家裡的無線網路遭人盜用，可能是哪一項設定有疏失？,"['無線網路未設定加密', '無線基地臺預設管理密碼未修改', '未關閉 SSID 廣播', '以上皆有可能', None]",,3
46,使用無線上網時，如果電腦搜尋到免費的網路，應該如何處理？,"['免費的網路連線多半是政府提供，所以可以放心使用', '可以偷連線，看看別人的電腦資料', '不要使用，因為透過不明連線傳輸資料，可能會被竊取', '不要使用，以避免收到垃圾郵件', None]",,2
47,駭客透過無線網路熱點 (Hotspot)，入侵企業網站或民眾電腦，成為新的犯罪手法。請問應該如何正確使用無線網路？,"['多使用免費的無線網路', '用無線網路傳輸重要資料，應進行加密', '無線網路比有線網路安全，所以資料傳輸不需加密', '使用信用度較高的無線網路', None]",,1
48,某款智慧型手機的作業系統被發現有漏洞，讓有心人士可以透過多媒體簡訊入侵手機。請問以下何項處理方式是「錯誤」的？,"['可先關閉多媒體簡訊功能', '下載作業系統廠商所提供的更新程式', '可以不必處理，因為智慧型手機中沒有重要資料', '持續注意作業系統廠商所提供的系統修復程式相關訊息', None]",,2
50,某款智慧型手機被發現有安全漏洞，駭客可輕易操控手機，進行犯罪活動。請問若你有使用這款手機，最好如何處理？,"['關機取出 SIM卡，再裝回且重新開機', '趕快設定開機密碼', '到廠商的官方網站下載安裝更新程式', '更換開機密碼', None]",,2
51,關於無線網路安全措施，何者「不適當」？,"['更改基地臺預設的SSID (Service Set ID)，避免被猜測', '所有無線網路基地臺均應提供WEP加密服務', '應建立控制清單，設定只有特定的MAC位址才可使用該基地臺的服務', '使用開放式認證系統，讓使用者只要接上無線網卡即可使用', None]",,3
52,下列那一項是無線網路跟有線網路比較，無線網路才有的特點？,"['支援連線加密', '無線廣播訊號', '遭受駭客攻擊', '檔案傳輸速度較快', None]",,1
53,下列何者「不能」增進行動裝置使用的安全？,"['安裝防毒軟體', '設定使用者驗證機制', '加密資料', '連上網際網路', None]",,3
54,下列那一項「不是」保護筆記型電腦、平板電腦、智慧型手機等行動裝置的安全措施？,"['設定登入密碼', '機不離身', '必要時才開啟藍芽功能', '加記憶體', None]",/Image/d5183a95-d717-433c-958a-4ed837417bbd.jpg,3
55,小萱收到一封訊息，內容說只要加入百貨公司瘋狂搶購粉絲團，即可享有千元優惠。請問下列哪個處理方式是「錯誤」的？,"['不理會此訊息。', '與服務人員確認活動之真實性。', '封鎖訊息發送者，以絕後患。', '立刻加入瘋狂搶購粉絲團。', None]",,3
56,阿飛為了讓家人能更方便使用網路，於是在家安裝了無線網路分享器。以下有關無線網路的設定何者正確？				,"['無線分享器登入之帳號密碼，可以不用設定與修改', '無線網路可以不用設定密碼，分享給其他不認識的人使用', '無線網路應設定密碼，並不輕易分享給不認識的人使用', '無線網路應設定密碼，但不要太複雜，以免忘記密碼無法上網', None]",/Image/d3195727-30a0-4920-add2-3bf7dfc70bbe.jpg,2
57,小玫帶著筆電到咖啡館寫報告，突然同事來電要求立即E-mail一份重要文件，請問這時小玫應該如何上網來傳送這份重要文件比較安全？,"['搜尋附近的無線基地臺，然後任選一個，進行網路連線', '讓筆電透過自己手機的無線上網功能，進行網路連線', '使用別人提供的熱點，進行網路連線', '使用咖啡店提供的無線網路，進行網路連線', None]",,1
58,很多人家中裝有無線網路，為了提高無線上網的安全性，請問下列敘述何者有誤？,"['必要時，應考慮隱藏無線網路名稱', '無線網路連線的密碼，應符合密碼複雜度要求（8碼以上英數字與符號混和）', '密碼設定只需要4碼就足夠', '定期更換無線網路連線密碼', None]",,2
59,小香買了一支新手機，並打算要把舊手機送給朋友使用。請問小香對舊手機的處理，下列敘述何者「錯誤」？,"['直接把手機送給朋友就好，沒有什麼要處理的。', '將手機恢復原廠設定。', '清空手機內的通訊錄、簡訊等資料。', '可將記憶卡的資料備份並轉移到新手機。', None]",,0
60,使用無線網路時，如果發現有其他不明的無線連線可供使用，應該如何處理？,"['可以放心使用免費的連線', '可以使用，以便偷看別人的資料', '不要使用，以免資料被竊取', '不要使用，以免收到垃圾郵件', None]",,2
61,阿傑每天都會利用社群網站與朋友聯繫感情，請問以下哪一種行為可能會導致阿傑的個人資料外洩？	,"['不開啟來路不明的連結或檔案', '填寫個人資料時，不要照實填寫所有的欄位', '所有的網路服務都使用同一組帳號密碼', '儘量減少安裝不必要的應用程式', None]",,2
62,澳洲曾發生一名少女將大疊鈔票照片上傳到臉書，導致搶匪依少女公開在網路上的地址，直接上門搶劫。關於此案例，以下說明何者有誤？	,"['在網路上炫耀金錢或奢侈品可能會為自己帶來生命上的危害', '個人網頁是我們與朋友互動的最佳管道，應將生活瑣事鉅細靡遺的記錄下來', '張貼在個人網頁上的文字或照片應避免涉及個資隱私', '使用社群網站時，應將朋友逐一分類，並進行不同的隱私設定', None]",/Image/3d07389d-8950-4c38-8e4f-73dd20a12cc3.jpg,1
63,以下何者的個人資料不在個資法的保護範圍內？,"['已死亡者', '尚未入學的孩童', '未成年者', '80歲以上的年長者', None]",,0
64,小紅最近登入社群網站時，網頁側邊總是顯示北海道旅遊的相關廣告，關於此情形，以下敘述何者「不正確」？,"['小紅最近可能在社群網站發布了有關北海道旅遊的文章', '小紅最近可能經常上網搜尋北海道旅遊的資訊', '小紅最近可能在社群網站上某個「北海道旅遊」的社團按過讚', '應該只是巧合而已，沒什麼好大驚小怪的', None]",/Image/5499f5c4-d9c6-4952-b084-1fee44510430.jpg,3
65,將人肉搜索的結果公布在網路上，如果公布的資料無關公眾利益，可能會觸犯何種法律？,"['著作權法', '國家機密保護法', '個人資料保護法', '專利法', None]",,2
67,挨家挨戶將廣告傳單投遞到住家信箱中，是否有違反個資法的問題？,"['己違反個資法，因為廣告傳單是垃圾郵件', '已違反個資法，因為住戶沒有同意他投遞廣告傳單', '沒有違反個資法，因為大家都這麼做', '沒有違反個資法，因為投遞者沒有蒐集住戶的個人資料', None]",,3
68,使用行車記錄器蒐集影像資料是否違反個資法？,"['沒有違反個資法，因為大家都在使用', '違反個資法，因為可能會被網友用於人肉搜索之用途', '沒有違反個資法，因為蒐集到的影像資料並沒有辦法跟特定人連結', '違反個資法，因為影像資料屬於個人資料', None]",,2
69,下者何者「不是」個人資料保護法之立法目的？,"['進行個資案件之集體訴訟', '規範個人資料之蒐集、處理及利用', '促進個人資料之合理利用', '避免人格權受侵害 ', None]",,0
71,使用者在填寫網站資料時，下列何者算是「選擇退出」(opt-out)的例子？,"['勾選我要的服務項目', '勾選一種帳單寄送的方式', '勾選我不同意公開的個人資訊', '勾選同意網站業者處理我資料的方式', None]",,2
72,我國「個人資料保護法」主要目的為避免人格權受到侵害，請問其中所指的個人資料「不包含」下列哪一項？,"['教育與職業', '健康與病歷', '胖瘦與容貌', '電話與地址', None]",,2
73,收到不知名的網站主動寄發的電子郵件，內容為點選連結加入會員就送贈品，請問，適當的處理方式為何？,"['立刻依照要求填寫個人資料', '不應理會，將信件刪除', '回信詢問對方詳細情況', '收到禮物後馬上把會員資料改成假的', None]",/Image/e59ea558-4d2e-4e38-8e9e-d47c08bbc5a3.jpg,1
74,玩線上遊戲想要結交戰友時，你最好怎麼做？,"['在留言版上公開徵求，並留下自己的聯絡資料', '採私下聯絡方式，例如電子郵件、訊息、悄悄話功能', '直接對線上所有人送出包含個人資料的即時訊息，以顯示交友的誠意', '把自己的聯絡方式寫在暱稱上面，這樣最一目了然', None]",,1
75,參加網站抽獎活動輸入個人資料時，應注意什麼？,"['應詳閱網站的保密政策（隱私權政策），瞭解個人資料的使用範圍', '應注意網站提供的贈品是否符合需求', '應注意抽獎活動的中獎機率', '應注意活動的參與人次是否熱門', None]",,0
76,如果懷疑自己的帳號被盜用時，應如何因應？,"['請系統管理員鎖定帳號', '請系統管理員刪除帳號', '馬上變更密碼', '將電腦裡的檔案清空', None]",,2
77,網站個人資料外洩事件頻傳，請問以下有關網路上保護個人資料的做法，何者「不恰當」？,"['非必要時，不要留下完整的個人資料', '即使是自己的部落格，也不公開地址、電話等詳細資料', '積極參加網路抽獎活動，並且一定要留下完整的個人資料，便於主辦單位通知', '使用公用電腦時避免輸入自己的帳號密碼', None]",/Image/f9cc68f8-4a87-409a-a342-e1bf6f2c8306.jpg,2
78,在學校、圖書館或網咖使用公用電腦時，進行哪些行為比較安全？,"['瀏覽不需登入帳號密碼的網站', '操作網路銀行', '收發電子郵件', '進行網路購物', None]",,0
79,駭客破解密碼入侵網路相簿，造成民眾私密照片外洩事件層出不窮。請問下列何種方法「無法」降低私密照片外洩的可能性？	,"['將網路相簿設定為公開', '防範電腦遭植入惡意程式', '私密照片不要上傳到網路上', '將網路相簿設定英數字加符號混合的密碼', None]",/Image/a38e914b-00b0-435f-b26a-81a9ac093f32.jpg,0
81,依照我國現行法律，下列何者可能「不是」侵害隱私的情況？,"['我在某銀行網站登錄的個人資料被賣到其他銀行', '網站用 Cookies 記錄我這臺電腦的 IP 位址與活動', '我在網路相簿中的照片被拿去徵一夜情', '我在家中的私密活動被偷拍公布在網站上', None]",,1
83,當我們使用網路服務時，以下何者「不是」尊重他人隱私的方式？,"['收到 E-mail時，儘量不要轉寄給不相干的人', '在部落格裡儘量不要討論別人的私人事務', '在 BBS 版上罵人不要說真名，罵暱稱就好', '除非獲得同意，不要在網路留言版上公布別人的手機號碼', None]",,2
84,偷看他人寫的私人電子郵件，違背了下列哪個道德原則？,"['隱私', '正義', '尊重生命', '利他', None]",,0
85,關於隱私權的敘述下列何者「錯誤」？,"['網路是開放的空間，網路隱私是不受保障的', '隱私的基本精神是不受他人侵犯', '隱私有時是指「秘密」', '隱私事關人性尊嚴與個人主體性', None]",,0
86,網路世界中與隱私相關的法律為何？,"['憲法', '刑法', '個人資料保護法', '以上皆是', None]",,3
87,電腦已是現代人慣用的工具，其中存有相當多的個人資料或商業機密，以下哪一個「不是」保護個人資料的方式？,"['確實管理個人電腦的使用權限', '每次離開應用軟體時只要關閉視窗，不需要登出', '確實防範病毒、木馬程式等的入侵', '公用電腦使用後要記得清除歷史紀錄', None]",,1
88,下列何者「不是」我國「個人資料保護法」的重點？,"['此法的主要目的是促進個人資料之合理利用', '公務機關所蒐集的個人資料，必須是屬於職掌必要範圍內', '公務機關與非公務機關在收集個人資料時，適用規範完全一樣', '當事人的隱私權益受到損害，可以申請損害賠償', None]",,2
90,請問報所得稅時使用自然人憑證的用意為何？,"['加快網路傳輸速度', '保證報稅成功', '確保所填報的所得資料是正確無誤的', '確認報稅者的身分', None]",,3
93,使用公共電腦上網時，下列哪一個「不是」必須注意的安全事項？,"['使用時，應注意有沒有不明的程式正在執行', '使用時，應注意電腦有沒有安裝螢幕保護程式', '使用完，應登出系統或將電腦關機', '使用完，應清除網際網路瀏覽器的 Cookies', None]",,1
94,在網咖、圖書館等地方使用公用電腦，最好「不要」進行下列哪一項操作，以保護個人資料安全？,"['查詢資料', '登入網路銀行轉帳', '瀏覽影音網站', '玩打發時間的小遊戲', None]",,1
95,一名英國青年在買來的二手手機中，發現了許多名人的手機號碼，造成名人隱私有被洩漏的危機。請問下列敘述何者「正確」？	,"['名人是公眾人物，他們的個人資料沒有隱私權問題', '這名青年可以將相關資料出售', '出售手機或不再使用的舊機，應刪除所有重要資料', '有機會跟名人對話，趕快打看看會不會接通', None]",/Image/c3794cdf-ee23-4287-9d05-472f5ff39743.jpg,2
96,一對表兄弟在網咖安裝木馬程式，只要顧客上網玩特定的線上遊戲，就會被盜取帳號和密碼。請問下列敘述何者「錯誤」？,"['使用公用電腦時，應注意有沒有不明程式自動執行', '因為線上遊戲都是虛擬的，所以這對表兄弟並無觸法', '應避免在公用電腦上，輸入需要帳號密碼的服務', '盜取帳號和密碼的地點在網咖，故網咖負責人需負法律責任', None]",,1
97,請問在哪種環境下使用網路報稅較為安全？,"['用網咖的電腦報稅', '在賣場使用免費的電腦', '在安裝防毒軟體且定期掃毒的個人電腦', '使用圖書館公用電腦', None]",,2
99,曾有民眾在求職網站填寫履歷時，因不瞭解功能設定，結果個人資料完全曝露了。請問對於上網求職，下列何者正確？,"['應先詳讀網站對於保護隱私權的聲明和使用功能說明', '應填寫假的履歷資料，預防個資外洩', '刊登履歷只要曝光度高就好', '不要使用求職網站', None]",/Image/17616327-5593-4ee2-ae98-c6eebb9ad0cd.jpg,0
100,在網站留下個人資料前，應該要注意下列哪一事項？,"['仔細閱讀該網站的隱私權保護聲明，確認自已的個資如何被保護', '確認該網站是否在臺灣註冊', '確認該網站是否為知名大公司', '確認是否能夠參加抽獎', None]",/Image/fa3a3968-c63d-47a5-b59c-2433192f3aa1.jpg,0
102,使用 facebook 等社群網站時，下列哪些措施有助於保護個資隱私？,"['避免提供完整且詳細的個人資料', '勿隨意點選朋友或粉絲提供的網址連結', '經常更新密碼與病毒碼', '以上皆是', None]",,3
104,數位簽章是一種數位應用，可用來驗證使用者身分，下列那一項「不是」數位簽章的特性？,"['沒有使用期限', '具有法律效力', '可以確認所簽署電子文件的完整性', '資料加密', None]",,0
107,在網路上購物要輸入信用卡資料時，應該注意什麼安全事項？,"['信用卡到期日是否有效', '注意瀏覽器是否有使用SSL加密', '信用卡付費是否有優惠或回饋金', '信用卡付費是否有抽獎機會', None]",,1
110,為什麼有些網站因為長期保留網路紀錄 (Cookies)，而引發侵犯隱私的批評？,"['電子郵件帳號密碼可能被竊取', '網路紀錄 (Cookies)檔案很大，會佔用磁碟空間', '網站可能會收集使用者的交易行為及瀏覽紀錄', '駭客會更容易竊取使用者的資料', None]",,2
111,一名美國大學生曾在駭客大會上，展示如何透過網路紀錄 (Cookies)竊取個人資料。請問為什麼網路紀錄 (Cookies)會令駭客有機可乘？,"['因為它是一種惡意的間諜程式', '因為它記錄使用者瀏覽網頁的資訊、帳號與密碼', '因為它是新的網路連線技術', '因為它是新的電腦病毒', None]",,1
112,為什麼連線到某些網站時，網站會自動顯示我的會員帳號？,"['因為電腦遭植入木馬程式', '因為電腦遭植入間諜軟體', '因為電腦被植入外掛程式', '因為該網站在電腦寫入網路紀錄 (Cookies)', None]",,3
113,請問網路紀錄 (Cookies)可能會記錄使用者的哪些個人資訊？,"['電腦開機時，輸入的帳號及密碼', 'Wi-Fi連線的帳號及密碼', '智慧型手機螢幕解鎖的帳號及密碼', '在該網站的瀏覽紀錄與登入的帳號及密碼', None]",/Image/a60cb690-82c3-438b-b918-430aba42d45d.jpg,3
114,臺北市一名張姓女子因為將網拍密碼設成與帳號一樣，結果帳號遭盜用且淪為詐騙案主謀。請問下列哪個是比較安全的密碼？,"['家裡電話號碼', '自己的生日', '使用大小寫英文加數字混合，且長度超過8位', '身分證字號', None]",,2
115,購物臺與網路購物接連發生個資外洩事件，甚至傳出每筆資料只賣0.5元。請問有關防範方法，下列何者「錯誤」？,"['業者必須負起全責，因為這和民眾是否做好防護措施無關', '公司行號處理重要資料，應設權限控管及審核機制', '員工應遵守公司的保密規定，以及各項使用規範', '挑選網路安全防護機制較高的網站進行交易', None]",,0
116,使用網路相簿存放照片時，應該選擇哪一組密碼比較安全？,"['家人的生日', '我的手機號碼', '我的英文名字+生日', '使用大小寫英文加數字混合，且長度超過8位', None]",,3
117,公司福委會為辦理團體保險，蒐集員工姓名、生日及身分證字號等個人資料，應該怎麼將資料提供給保險公司業務人員比較安全？		,"['將保險資料直接E-mail給保險公司業務人員', '將保險資料直接放在網路的分享區，讓保險公司業務人員下載', '將保險資料壓縮後，E-mail給保險公司業務人員', '將保險資料壓縮加密後，E-mail給保險公司業務人員', None]",/Image/a7bd4d20-e1bf-4b78-8db5-41b0a4dc2836.jpg,3
118,下列有關於個人資料的類別，何者是可以直接識別單一個人的？,"['血型', '出生年月日', '身分證字號', '性別', None]",,2
119,在個人電腦上存放個人履歷、生活記事與照片，應該如何保護檔案安全？,"['與他人共用電腦', '取消設定登入帳號與密碼', '將檔案另外加密儲存', '將所有資料夾設定分享', None]",,2
